nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
10000,1.0,0.01,1.0,0.7,0.786,0.07,6.78,14.22
10000,1.0,0.01,1.0,0.7,0.786,0.1,7.03,13.97
10000,1.0,0.01,1.0,0.7,0.618,0.01,7.2,21.66
10000,1.0,0.01,1.0,0.7,0.618,0.03,6.88,19.04
10000,1.0,0.01,1.0,0.7,0.618,0.05,6.92,16.51
10000,1.0,0.01,1.0,0.7,0.618,0.07,7.11,17.62
10000,1.0,0.01,1.0,0.7,0.618,0.1,6.8,17.33
10000,1.0,0.01,1.0,0.7,0.5,0.01,7.9,49.73
10000,1.0,0.01,1.0,0.7,0.5,0.03,7.25,42.91
10000,1.0,0.01,1.0,0.7,0.5,0.05,7.11,36.14
10000,1.0,0.01,1.0,0.7,0.5,0.07,7.26,37.41
10000,1.0,0.01,1.0,0.7,0.5,0.1,7.39,36.53
10000,1.0,0.01,1.0,0.7,0.382,0.01,7.9,62.98
10000,1.0,0.01,1.0,0.7,0.382,0.03,8.08,62.68
10000,1.0,0.01,1.0,0.7,0.382,0.05,8.26,61.32
10000,1.0,0.01,1.0,0.7,0.382,0.07,8.29,62.12
10000,1.0,0.01,1.0,0.7,0.382,0.1,8.19,59.69
10000,1.0,0.01,1.0,0.7,0.2,0.01,9.79,86.48
10000,1.0,0.01,1.0,0.7,0.2,0.03,9.04,82.0
10000,1.0,0.01,1.0,0.7,0.2,0.05,9.11,81.84
10000,1.0,0.01,1.0,0.7,0.2,0.07,9.01,81.24
10000,1.0,0.01,1.0,0.7,0.2,0.1,9.1,81.94
10000,1.0,0.01,1.0,0.7,0.1,0.01,9.39,91.75
10000,1.0,0.01,1.0,0.7,0.1,0.03,9.21,85.86
10000,1.0,0.01,1.0,0.7,0.1,0.05,9.02,80.55
10000,1.0,0.01,1.0,0.7,0.1,0.07,8.94,79.07
10000,1.0,0.01,1.0,0.7,0.1,0.1,8.91,79.47
10000,1.0,0.01,1.0,0.8,0.9,0.01,6.86,14.14
10000,1.0,0.01,1.0,0.8,0.9,0.03,7.02,13.98
10000,1.0,0.01,1.0,0.8,0.9,0.05,6.7,14.3
10000,1.0,0.01,1.0,0.8,0.9,0.07,6.99,14.01
10000,1.0,0.01,1.0,0.8,0.9,0.1,6.97,14.03
10000,1.0,0.01,1.0,0.8,0.786,0.01,6.94,14.06
10000,1.0,0.01,1.0,0.8,0.786,0.03,6.88,14.12
10000,1.0,0.01,1.0,0.8,0.786,0.05,6.86,14.14
10000,1.0,0.01,1.0,0.8,0.786,0.07,7.02,13.98
10000,1.0,0.01,1.0,0.8,0.786,0.1,6.97,14.03
10000,1.0,0.01,1.0,0.8,0.618,0.01,6.96,16.09
10000,1.0,0.01,1.0,0.8,0.618,0.03,6.87,14.13
10000,1.0,0.01,1.0,0.8,0.618,0.05,6.72,14.28
10000,1.0,0.01,1.0,0.8,0.618,0.07,6.86,14.14
10000,1.0,0.01,1.0,0.8,0.618,0.1,6.7,14.3
10000,1.0,0.01,1.0,0.8,0.5,0.01,7.42,50.31
10000,1.0,0.01,1.0,0.8,0.5,0.03,7.11,41.12
10000,1.0,0.01,1.0,0.8,0.5,0.05,7.21,39.78
10000,1.0,0.01,1.0,0.8,0.5,0.07,7.05,36.93
10000,1.0,0.01,1.0,0.8,0.5,0.1,7.08,34.48
10000,1.0,0.01,1.0,0.8,0.382,0.01,8.14,66.87
10000,1.0,0.01,1.0,0.8,0.382,0.03,7.07,59.76
10000,1.0,0.01,1.0,0.8,0.382,0.05,6.42,52.02
10000,1.0,0.01,1.0,0.8,0.382,0.07,7.02,51.02
10000,1.0,0.01,1.0,0.8,0.382,0.1,6.97,49.38
10000,1.0,0.01,1.0,0.8,0.2,0.01,8.43,80.19
10000,1.0,0.01,1.0,0.8,0.2,0.03,8.4,76.32
10000,1.0,0.01,1.0,0.8,0.2,0.05,7.27,71.04
10000,1.0,0.01,1.0,0.8,0.2,0.07,7.69,72.92
10000,1.0,0.01,1.0,0.8,0.2,0.1,7.3,69.23
10000,1.0,0.01,1.0,0.8,0.1,0.01,12.36,96.99
10000,1.0,0.01,1.0,0.8,0.1,0.03,7.43,88.16
10000,1.0,0.01,1.0,0.8,0.1,0.05,7.53,87.25
10000,1.0,0.01,1.0,0.8,0.1,0.07,7.27,82.5
10000,1.0,0.01,1.0,0.8,0.1,0.1,6.92,80.9
10000,1.0,0.01,1.0,0.9,0.9,0.01,6.83,14.17
10000,1.0,0.01,1.0,0.9,0.9,0.03,6.91,14.09
10000,1.0,0.01,1.0,0.9,0.9,0.05,6.91,14.09
10000,1.0,0.01,1.0,0.9,0.9,0.07,6.8,14.2
10000,1.0,0.01,1.0,0.9,0.9,0.1,6.81,14.19
10000,1.0,0.01,1.0,0.9,0.786,0.01,6.83,14.17
10000,1.0,0.01,1.0,0.9,0.786,0.03,6.89,14.11
10000,1.0,0.01,1.0,0.9,0.786,0.05,6.98,14.02
10000,1.0,0.01,1.0,0.9,0.786,0.07,6.99,14.01
10000,1.0,0.01,1.0,0.9,0.786,0.1,6.84,14.16
10000,1.0,0.01,1.0,0.9,0.618,0.01,7.11,18.78
10000,1.0,0.01,1.0,0.9,0.618,0.03,7.11,17.54
10000,1.0,0.01,1.0,0.9,0.618,0.05,6.91,17.77
10000,1.0,0.01,1.0,0.9,0.618,0.07,6.96,17.15
10000,1.0,0.01,1.0,0.9,0.618,0.1,6.97,17.09
10000,1.0,0.01,1.0,0.9,0.5,0.01,8.35,59.33
10000,1.0,0.01,1.0,0.9,0.5,0.03,7.53,48.43
10000,1.0,0.01,1.0,0.9,0.5,0.05,7.32,41.46
10000,1.0,0.01,1.0,0.9,0.5,0.07,7.23,39.23
10000,1.0,0.01,1.0,0.9,0.5,0.1,7.39,37.84
10000,1.0,0.01,1.0,0.9,0.382,0.01,7.83,57.7
10000,1.0,0.01,1.0,0.9,0.382,0.03,7.88,58.1
10000,1.0,0.01,1.0,0.9,0.382,0.05,8.48,58.36
10000,1.0,0.01,1.0,0.9,0.382,0.07,8.17,53.28
10000,1.0,0.01,1.0,0.9,0.382,0.1,8.04,51.49
10000,1.0,0.01,1.0,0.9,0.2,0.01,9.12,83.68
10000,1.0,0.01,1.0,0.9,0.2,0.03,9.08,83.96
10000,1.0,0.01,1.0,0.9,0.2,0.05,8.78,81.61
10000,1.0,0.01,1.0,0.9,0.2,0.07,9.18,79.95
10000,1.0,0.01,1.0,0.9,0.2,0.1,9.28,81.93
10000,1.0,0.01,1.0,0.9,0.1,0.01,10.62,93.24
10000,1.0,0.01,1.0,0.9,0.1,0.03,10.5,91.57
10000,1.0,0.01,1.0,0.9,0.1,0.05,11.28,92.66
10000,1.0,0.01,1.0,0.9,0.1,0.07,10.25,89.45
10000,1.0,0.01,1.0,0.9,0.1,0.1,10.03,89.1
20000,1.0,0.01,1.0,0.5,0.9,0.01,6.96,14.04
20000,1.0,0.01,1.0,0.5,0.9,0.03,6.94,14.06
20000,1.0,0.01,1.0,0.5,0.9,0.05,6.77,14.23
20000,1.0,0.01,1.0,0.5,0.9,0.07,6.97,14.03
20000,1.0,0.01,1.0,0.5,0.9,0.1,6.99,14.01
20000,1.0,0.01,1.0,0.5,0.786,0.01,6.99,14.01
20000,1.0,0.01,1.0,0.5,0.786,0.03,7.0,14.0
20000,1.0,0.01,1.0,0.5,0.786,0.05,7.0,14.0
20000,1.0,0.01,1.0,0.5,0.786,0.07,6.97,14.03
20000,1.0,0.01,1.0,0.5,0.786,0.1,6.81,14.19
20000,1.0,0.01,1.0,0.5,0.618,0.01,6.97,18.87
20000,1.0,0.01,1.0,0.5,0.618,0.03,6.74,14.26
20000,1.0,0.01,1.0,0.5,0.618,0.05,6.7,14.3
20000,1.0,0.01,1.0,0.5,0.618,0.07,6.68,14.32
20000,1.0,0.01,1.0,0.5,0.618,0.1,6.67,14.33
20000,1.0,0.01,1.0,0.5,0.5,0.01,6.99,28.68
20000,1.0,0.01,1.0,0.5,0.5,0.03,6.75,25.38
20000,1.0,0.01,1.0,0.5,0.5,0.05,6.45,24.1
20000,1.0,0.01,1.0,0.5,0.5,0.07,6.52,22.98
20000,1.0,0.01,1.0,0.5,0.5,0.1,6.94,20.92
20000,1.0,0.01,1.0,0.5,0.382,0.01,7.6,62.84
20000,1.0,0.01,1.0,0.5,0.382,0.03,6.73,43.84
20000,1.0,0.01,1.0,0.5,0.382,0.05,6.77,36.48
