nb_episodes;epsilon_rate;epsilon_min;epsilon_max;learning_rate;reward_discount_rate;decay_rate;avg_rewards;avg_steps;duration
20000;1.0;0.01;1.0;0.6;0.382;0.05;6.82;14.18;7,7
20000;1.0;0.01;1.0;0.6;0.382;0.07;6.85;14.15;8,4
20000;1.0;0.01;1.0;0.6;0.382;0.1;6.83;14.17;8,3
20000;1.0;0.01;1.0;0.6;0.2;0.01;6.83;14.17;7,2
20000;1.0;0.01;1.0;0.6;0.2;0.03;6.81;14.19;8,1
20000;1.0;0.01;1.0;0.6;0.2;0.05;6.82;14.18;8,3
20000;1.0;0.01;1.0;0.6;0.2;0.07;6.84;14.16;8,9
20000;1.0;0.01;1.0;0.6;0.2;0.1;6.82;14.18;7,2
20000;1.0;0.01;1.0;0.6;0.1;0.01;6.84;14.16;7,4
20000;1.0;0.01;1.0;0.6;0.1;0.03;6.85;14.15;8,2
20000;1.0;0.01;1.0;0.6;0.1;0.05;6.83;14.17;8
20000;1.0;0.01;1.0;0.6;0.1;0.07;6.84;14.16;9
20000;1.0;0.01;1.0;0.6;0.1;0.1;6.84;14.16;7,4
20000;1.0;0.01;1.0;0.7;0.9;0.01;6.82;14.18;7,8
20000;1.0;0.01;1.0;0.7;0.9;0.03;6.83;14.17;8,3
20000;1.0;0.01;1.0;0.7;0.9;0.05;6.81;14.19;7,8
20000;1.0;0.01;1.0;0.7;0.9;0.07;6.84;14.16;8,5
20000;1.0;0.01;1.0;0.7;0.9;0.1;6.84;14.16;8,7
20000;1.0;0.01;1.0;0.7;0.786;0.01;6.84;14.16;8,4
20000;1.0;0.01;1.0;0.7;0.786;0.03;6.85;14.15;7,7
20000;1.0;0.01;1.0;0.7;0.786;0.05;6.85;14.15;7,9
20000;1.0;0.01;1.0;0.7;0.786;0.07;6.85;14.15;8,6
20000;1.0;0.01;1.0;0.7;0.786;0.1;6.84;14.16;7
20000;1.0;0.01;1.0;0.7;0.618;0.01;6.83;14.17;8,5
20000;1.0;0.01;1.0;0.7;0.618;0.03;6.83;14.17;7,8
20000;1.0;0.01;1.0;0.7;0.618;0.05;6.83;14.17;8,7
20000;1.0;0.01;1.0;0.7;0.618;0.07;6.83;14.17;7,4
20000;1.0;0.01;1.0;0.7;0.618;0.1;6.83;14.17;8,5
20000;1.0;0.01;1.0;0.7;0.5;0.01;6.86;14.14;7,7
20000;1.0;0.01;1.0;0.7;0.5;0.03;6.82;14.18;7,7
20000;1.0;0.01;1.0;0.7;0.5;0.05;6.79;14.21;7,7
20000;1.0;0.01;1.0;0.7;0.5;0.07;6.81;14.19;8,8
20000;1.0;0.01;1.0;0.7;0.5;0.1;6.88;14.12;7,6
20000;1.0;0.01;1.0;0.7;0.382;0.01;6.82;14.18;8,1
20000;1.0;0.01;1.0;0.7;0.382;0.03;6.82;14.18;7,1
20000;1.0;0.01;1.0;0.7;0.382;0.05;6.86;14.14;8,7
20000;1.0;0.01;1.0;0.7;0.382;0.07;6.85;14.15;8,1
20000;1.0;0.01;1.0;0.7;0.382;0.1;6.82;14.18;8,1
20000;1.0;0.01;1.0;0.7;0.2;0.01;6.85;14.15;8,3
20000;1.0;0.01;1.0;0.7;0.2;0.03;6.83;14.18;8,3
20000;1.0;0.01;1.0;0.7;0.2;0.05;6.85;14.15;7,3
20000;1.0;0.01;1.0;0.7;0.2;0.07;6.83;14.17;7,3
20000;1.0;0.01;1.0;0.7;0.2;0.1;6.82;14.18;8,8
20000;1.0;0.01;1.0;0.7;0.1;0.01;6.78;14.22;8,5
20000;1.0;0.01;1.0;0.7;0.1;0.03;6.85;14.15;7,8
20000;1.0;0.01;1.0;0.7;0.1;0.05;6.83;14.17;7,1
20000;1.0;0.01;1.0;0.7;0.1;0.07;6.84;14.16;8,4
20000;1.0;0.01;1.0;0.7;0.1;0.1;6.81;14.19;8,1
20000;1.0;0.01;1.0;0.8;0.9;0.01;6.86;14.14;8,2
20000;1.0;0.01;1.0;0.8;0.9;0.03;6.8;14.2;8,5
20000;1.0;0.01;1.0;0.8;0.9;0.05;6.83;14.17;8,1
20000;1.0;0.01;1.0;0.8;0.9;0.07;6.81;14.19;7,7
20000;1.0;0.01;1.0;0.8;0.9;0.1;6.81;14.19;9
20000;1.0;0.01;1.0;0.8;0.786;0.01;6.84;14.16;8,1
20000;1.0;0.01;1.0;0.8;0.786;0.03;6.82;14.18;8,3
20000;1.0;0.01;1.0;0.8;0.786;0.05;6.85;14.15;8,6
20000;1.0;0.01;1.0;0.8;0.786;0.07;6.78;14.22;8
20000;1.0;0.01;1.0;0.8;0.786;0.1;6.78;14.22;8,4
20000;1.0;0.01;1.0;0.8;0.618;0.01;6.84;14.16;8,4
20000;1.0;0.01;1.0;0.8;0.618;0.03;6.86;14.14;8
20000;1.0;0.01;1.0;0.8;0.618;0.05;6.85;14.15;7,4
20000;1.0;0.01;1.0;0.8;0.618;0.07;6.82;14.18;9
20000;1.0;0.01;1.0;0.8;0.618;0.1;6.82;14.18;8,8
20000;1.0;0.01;1.0;0.8;0.5;0.01;6.83;14.17;8,5
20000;1.0;0.01;1.0;0.8;0.5;0.03;6.85;14.15;9
20000;1.0;0.01;1.0;0.8;0.5;0.05;6.85;14.15;7,1
20000;1.0;0.01;1.0;0.8;0.5;0.07;6.87;14.13;8,8
20000;1.0;0.01;1.0;0.8;0.5;0.1;6.82;14.18;8,5
20000;1.0;0.01;1.0;0.8;0.382;0.01;6.81;14.19;8,7
20000;1.0;0.01;1.0;0.8;0.382;0.03;6.84;14.16;7,7
20000;1.0;0.01;1.0;0.8;0.382;0.05;6.81;14.19;7,3
20000;1.0;0.01;1.0;0.8;0.382;0.07;6.84;14.16;7
20000;1.0;0.01;1.0;0.8;0.382;0.1;6.81;14.19;9
20000;1.0;0.01;1.0;0.8;0.2;0.01;6.82;14.18;7,9
20000;1.0;0.01;1.0;0.8;0.2;0.03;6.84;14.16;8
20000;1.0;0.01;1.0;0.8;0.2;0.05;6.84;14.16;8,8
20000;1.0;0.01;1.0;0.8;0.2;0.07;6.85;14.15;7,6
20000;1.0;0.01;1.0;0.8;0.2;0.1;6.82;14.18;7,2
20000;1.0;0.01;1.0;0.8;0.1;0.01;6.84;14.16;8
20000;1.0;0.01;1.0;0.8;0.1;0.03;6.84;14.16;8,3
20000;1.0;0.01;1.0;0.8;0.1;0.05;6.83;14.17;7,5
20000;1.0;0.01;1.0;0.8;0.1;0.07;6.81;14.19;7
20000;1.0;0.01;1.0;0.8;0.1;0.1;6.83;14.17;7,2
20000;1.0;0.01;1.0;0.9;0.9;0.01;6.83;14.17;8,5
20000;1.0;0.01;1.0;0.9;0.9;0.03;6.82;14.18;8
20000;1.0;0.01;1.0;0.9;0.9;0.05;6.82;14.18;7,7
20000;1.0;0.01;1.0;0.9;0.9;0.07;6.83;14.17;8,5
20000;1.0;0.01;1.0;0.9;0.9;0.1;6.82;14.18;7,4
20000;1.0;0.01;1.0;0.9;0.786;0.01;6.83;14.17;7,6
20000;1.0;0.01;1.0;0.9;0.786;0.03;6.84;14.16;8,6
20000;1.0;0.01;1.0;0.9;0.786;0.05;6.87;14.13;8,7
20000;1.0;0.01;1.0;0.9;0.786;0.07;6.81;14.19;7,6
20000;1.0;0.01;1.0;0.9;0.786;0.1;6.83;14.17;8,6
20000;1.0;0.01;1.0;0.9;0.618;0.01;6.81;14.19;7,7
20000;1.0;0.01;1.0;0.9;0.618;0.03;6.79;14.21;7,4
20000;1.0;0.01;1.0;0.9;0.618;0.05;6.82;14.18;7,1
20000;1.0;0.01;1.0;0.9;0.618;0.07;6.84;14.16;7,7
20000;1.0;0.01;1.0;0.9;0.618;0.1;6.84;14.16;7,1
20000;1.0;0.01;1.0;0.9;0.5;0.01;6.82;14.18;8,3
20000;1.0;0.01;1.0;0.9;0.5;0.03;6.83;14.17;7,9
20000;1.0;0.01;1.0;0.9;0.5;0.05;6.84;14.16;7,2
20000;1.0;0.01;1.0;0.9;0.5;0.07;6.8;14.2;8
20000;1.0;0.01;1.0;0.9;0.5;0.1;6.84;14.16;7,9
20000;1.0;0.01;1.0;0.9;0.382;0.01;6.82;14.18;8,5
20000;1.0;0.01;1.0;0.9;0.382;0.03;6.81;14.19;8,2
20000;1.0;0.01;1.0;0.9;0.382;0.05;6.84;14.16;8,2
20000;1.0;0.01;1.0;0.9;0.382;0.07;6.85;14.15;8,1
20000;1.0;0.01;1.0;0.9;0.382;0.1;6.8;14.2;7,8
20000;1.0;0.01;1.0;0.9;0.2;0.01;6.81;14.19;7,1
20000;1.0;0.01;1.0;0.9;0.2;0.03;6.82;14.18;7,6
20000;1.0;0.01;1.0;0.9;0.2;0.05;6.84;14.16;7,6
20000;1.0;0.01;1.0;0.9;0.2;0.07;6.81;14.19;8,8
20000;1.0;0.01;1.0;0.9;0.2;0.1;6.84;14.16;7,2
20000;1.0;0.01;1.0;0.9;0.1;0.01;6.86;14.14;8,7
20000;1.0;0.01;1.0;0.9;0.1;0.03;6.82;14.18;7,9
20000;1.0;0.01;1.0;0.9;0.1;0.05;6.8;14.2;8,8
20000;1.0;0.01;1.0;0.9;0.1;0.07;6.83;14.17;7,2
20000;1.0;0.01;1.0;0.9;0.1;0.1;6.86;14.14;8,7
30000;1.0;0.01;1.0;0.5;0.9;0.01;6.82;14.18;8,7
30000;1.0;0.01;1.0;0.5;0.9;0.03;6.84;14.16;7,8
