nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps,duration
10000,1.0,0.01,1.0,0.7,0.9,0.1,6.05,36.98,1325.98330616951
10000,1.0,0.01,1.0,0.7,0.786,0.01,6.17,60.61,1344.259110212326
10000,1.0,0.01,1.0,0.7,0.786,0.03,6.96,74.16,1362.4075937271118
10000,1.0,0.01,1.0,0.7,0.786,0.05,6.01,62.89,1379.392853975296
10000,1.0,0.01,1.0,0.7,0.786,0.07,6.22,65.12,1396.2664861679077
10000,1.0,0.01,1.0,0.7,0.786,0.1,6.32,57.23,1411.74152469635
10000,1.0,0.01,1.0,0.7,0.618,0.01,5.44,79.17,1433.3383152484894
10000,1.0,0.01,1.0,0.7,0.618,0.03,6.94,80.83,1454.5965173244476
10000,1.0,0.01,1.0,0.7,0.618,0.05,8.69,90.62,1476.8923780918121
10000,1.0,0.01,1.0,0.7,0.618,0.07,7.12,88.44,1499.5444412231445
10000,1.0,0.01,1.0,0.7,0.618,0.1,5.05,64.39,1517.9710721969604
10000,1.0,0.01,1.0,0.7,0.5,0.01,6.97,83.38,1540.7573926448822
10000,1.0,0.01,1.0,0.7,0.5,0.03,9.75,83.65,1562.7856030464172
10000,1.0,0.01,1.0,0.7,0.5,0.05,5.96,86.72,1586.5328142642975
10000,1.0,0.01,1.0,0.7,0.5,0.07,9.63,94.43,1612.3495037555695
10000,1.0,0.01,1.0,0.7,0.5,0.1,7.02,89.72,1637.7116856575012
10000,1.0,0.01,1.0,0.7,0.382,0.01,7.21,91.36,1662.2585043907166
10000,1.0,0.01,1.0,0.7,0.382,0.03,5.12,74.01,1684.9605729579926
10000,1.0,0.01,1.0,0.7,0.382,0.05,6.31,88.51,1709.1698603630066
10000,1.0,0.01,1.0,0.7,0.382,0.07,2.65,92.57,1733.3277432918549
10000,1.0,0.01,1.0,0.7,0.382,0.1,7.34,83.9,1757.3220789432526
10000,1.0,0.01,1.0,0.7,0.2,0.01,9.94,92.22,1781.7001676559448
10000,1.0,0.01,1.0,0.7,0.2,0.03,9.88,90.91,1806.9123034477234
10000,1.0,0.01,1.0,0.7,0.2,0.05,10.1,90.42,1831.459820985794
10000,1.0,0.01,1.0,0.7,0.2,0.07,8.78,92.93,1857.0983877182007
10000,1.0,0.01,1.0,0.7,0.2,0.1,7.44,84.66,1882.0798256397247
10000,1.0,0.01,1.0,0.7,0.1,0.01,2.42,88.03,1907.280592918396
10000,1.0,0.01,1.0,0.7,0.1,0.03,9.65,87.62,1932.0149891376495
10000,1.0,0.01,1.0,0.7,0.1,0.05,6.37,88.18,1957.178706407547
10000,1.0,0.01,1.0,0.7,0.1,0.07,8.33,87.22,1982.2983055114746
10000,1.0,0.01,1.0,0.7,0.1,0.1,6.45,90.21,2007.695161819458
10000,1.0,0.01,1.0,0.8,0.9,0.01,4.6,58.15,2024.511672258377
10000,1.0,0.01,1.0,0.8,0.9,0.03,4.85,53.58,2039.0771346092224
10000,1.0,0.01,1.0,0.8,0.9,0.05,5.89,55.82,2052.5312077999115
10000,1.0,0.01,1.0,0.8,0.9,0.07,6.79,47.1,2064.5257873535156
10000,1.0,0.01,1.0,0.8,0.9,0.1,6.52,53.75,2076.9421133995056
10000,1.0,0.01,1.0,0.8,0.786,0.01,5.53,91.88,2102.1054577827454
10000,1.0,0.01,1.0,0.8,0.786,0.03,5.51,75.48,2123.837718963623
10000,1.0,0.01,1.0,0.8,0.786,0.05,7.65,66.79,2144.092505455017
10000,1.0,0.01,1.0,0.8,0.786,0.07,7.62,83.28,2167.093002319336
10000,1.0,0.01,1.0,0.8,0.786,0.1,5.75,78.34,2188.9247126579285
10000,1.0,0.01,1.0,0.8,0.618,0.01,2.84,80.67,2213.869545698166
10000,1.0,0.01,1.0,0.8,0.618,0.03,0,99.0,2239.9638907909393
10000,1.0,0.01,1.0,0.8,0.618,0.05,3.39,89.05,2264.279095888138
10000,1.0,0.01,1.0,0.8,0.618,0.07,8.75,87.77,2288.7581555843353
10000,1.0,0.01,1.0,0.8,0.618,0.1,7.22,88.54,2312.7464396953583
10000,1.0,0.01,1.0,0.8,0.5,0.01,0,99.0,2339.146680831909
10000,1.0,0.01,1.0,0.8,0.5,0.03,5.06,78.18,2363.748230934143
10000,1.0,0.01,1.0,0.8,0.5,0.05,1.96,87.53,2388.157013654709
10000,1.0,0.01,1.0,0.8,0.5,0.07,5.64,84.46,2412.3422904014587
10000,1.0,0.01,1.0,0.8,0.5,0.1,4.44,84.04,2436.637678861618
10000,1.0,0.01,1.0,0.8,0.382,0.01,4.49,91.06,2462.56050825119
10000,1.0,0.01,1.0,0.8,0.382,0.03,5.24,83.3,2486.497475862503
10000,1.0,0.01,1.0,0.8,0.382,0.05,6.18,95.62,2511.968872308731
10000,1.0,0.01,1.0,0.8,0.382,0.07,8.0,89.9,2537.7278032302856
10000,1.0,0.01,1.0,0.8,0.382,0.1,7.87,89.55,2562.606166124344
10000,1.0,0.01,1.0,0.8,0.2,0.01,8.71,91.07,2587.8936562538147
10000,1.0,0.01,1.0,0.8,0.2,0.03,6.89,89.89,2612.7822811603546
10000,1.0,0.01,1.0,0.8,0.2,0.05,10.0,98.45,2639.186006784439
10000,1.0,0.01,1.0,0.8,0.2,0.07,8.71,88.62,2664.105976819992
10000,1.0,0.01,1.0,0.8,0.2,0.1,4.4,92.39,2689.844356060028
10000,1.0,0.01,1.0,0.8,0.1,0.01,6.15,86.81,2715.1683356761932
10000,1.0,0.01,1.0,0.8,0.1,0.03,11.14,98.1,2741.7346596717834
10000,1.0,0.01,1.0,0.8,0.1,0.05,7.17,94.05,2767.8465361595154
10000,1.0,0.01,1.0,0.8,0.1,0.07,5.6,92.3,2794.308976173401
10000,1.0,0.01,1.0,0.8,0.1,0.1,10.93,95.75,2820.2475097179413
10000,1.0,0.01,1.0,0.9,0.9,0.01,2.63,85.66,2840.6393430233
10000,1.0,0.01,1.0,0.9,0.9,0.03,6.52,69.51,2859.2398924827576
10000,1.0,0.01,1.0,0.9,0.9,0.05,4.32,61.16,2874.987959623337
10000,1.0,0.01,1.0,0.9,0.9,0.07,4.6,68.85,2891.4681861400604
10000,1.0,0.01,1.0,0.9,0.9,0.1,6.16,67.47,2908.3268072605133
10000,1.0,0.01,1.0,0.9,0.786,0.01,4.82,89.05,2933.4159283638
10000,1.0,0.01,1.0,0.9,0.786,0.03,7.48,81.82,2956.937495470047
10000,1.0,0.01,1.0,0.9,0.786,0.05,4.53,80.21,2980.836656332016
10000,1.0,0.01,1.0,0.9,0.786,0.07,6.31,88.2,3006.2664906978607
10000,1.0,0.01,1.0,0.9,0.786,0.1,9.56,93.52,3030.754170179367
10000,1.0,0.01,1.0,0.9,0.618,0.01,7.69,83.13,3055.949547767639
10000,1.0,0.01,1.0,0.9,0.618,0.03,7.34,86.63,3080.665724992752
10000,1.0,0.01,1.0,0.9,0.618,0.05,8.79,95.76,3107.248729944229
10000,1.0,0.01,1.0,0.9,0.618,0.07,12.75,97.81,3133.3228521347046
10000,1.0,0.01,1.0,0.9,0.618,0.1,5.94,85.93,3157.7793440818787
10000,1.0,0.01,1.0,0.9,0.5,0.01,7.06,90.05,3183.6035113334656
10000,1.0,0.01,1.0,0.9,0.5,0.03,7.81,87.68,3208.7902824878693
10000,1.0,0.01,1.0,0.9,0.5,0.05,6.8,88.72,3233.5085163116455
10000,1.0,0.01,1.0,0.9,0.5,0.07,6.71,91.16,3259.1872968673706
10000,1.0,0.01,1.0,0.9,0.5,0.1,8.28,87.14,3284.0980978012085
10000,1.0,0.01,1.0,0.9,0.382,0.01,3.99,85.48,3309.253135204315
10000,1.0,0.01,1.0,0.9,0.382,0.03,5.61,95.79,3335.2875711917877
10000,1.0,0.01,1.0,0.9,0.382,0.05,7.44,88.27,3359.7581458091736
10000,1.0,0.01,1.0,0.9,0.382,0.07,9.4,93.16,3385.1263382434845
10000,1.0,0.01,1.0,0.9,0.382,0.1,8.35,93.77,3410.7041115760803
10000,1.0,0.01,1.0,0.9,0.2,0.01,6.6,78.85,3435.6360523700714
10000,1.0,0.01,1.0,0.9,0.2,0.03,7.33,93.36,3461.6214978694916
10000,1.0,0.01,1.0,0.9,0.2,0.05,4.18,87.04,3486.705376625061
10000,1.0,0.01,1.0,0.9,0.2,0.07,4.74,94.65,3512.1420500278473
